SBP_Male	GDP	TC_Male	Country	Year	Year_base1978
131.1427	7004.45874006	5.364064	Argentina	1981	1.73205080757
130.448	488.317893094	4.531673	Zambia	1981	1.73205080757
128.7547	1902.59684524	5.064324	Fiji	1981	1.73205080757
137.8946	15565.8216667	5.839685	Austria	1981	1.73205080757
131.9225	1213.8815602	4.530686	Botswana	1981	1.73205080757
135.5054	24444.2017434	4.843151	Japan	1982	2.0
136.1874	607.820768308	4.217215	Cape Verde	1982	2.0
131.9632	266.420098174	4.097137	Rwanda	1982	2.0
130.7427	535.879483263	4.440881	Zimbabwe	1982	2.0
139.3727	15514.6576335	6.108996	Andorra	1982	2.0
127.8755	425.093758433	4.394646	Kenya	1982	2.0
141.8555	15887.8732416	6.070332	Finland	1982	2.0
130.1476	204.182880146	4.169189	Ghana	1982	2.0
130.065	147.791025339	4.20022	Malawi	1982	2.0
130.7638	1279.41649032	4.762067	Nicaragua	1982	2.0
135.1363	450.063304721	5.042588	Mongolia	1982	2.0
135.3325	1380.42104898	5.277013	Bulgaria	1982	2.0
135.1292	3459.78749222	4.870951	South Africa	1982	2.0
135.9378	898.179682206	5.274988	Moldova	1982	2.0
127.6644	1897.66205066	4.850074	Belize	1982	2.0
133.6427	307.493978207	4.182187	Togo	1982	2.0
133.4587	7170.53953468	5.10208	Barbados	1982	2.0
122.9865	273.37804599	4.392596	Bhutan	1982	2.0
127.1623	2007.45479704	5.025304	Jordan	1982	2.0
133.735	7021.5954832	5.426303	Cyprus	1982	2.0
130.1601	3113.77632654	4.877247	Cuba	1982	2.0
139.2487	15810.5531926	5.8256	Germany	1982	2.0
130.4128	1477.01185153	4.971738	Iran	1982	2.0
131.5509	8648.30028479	5.002748	Puerto Rico	1982	2.0
137.7336	16011.1400566	5.982942	France	1982	2.0
132.5884	530.544880352	4.311566	Senegal	1982	2.0
131.2521	7293.32448224	4.876827	Trinidad and Tobago	1982	2.0
131.4184	5294.22210842	4.967978	Oman	1982	2.0
135.4979	15578.3583245	6.029181	Belgium	1982	2.0
138.9147	41580.3016864	5.63608	Bermuda	1982	2.0
138.3997	21044.816612	6.178578	Luxembourg	1982	2.0
130.4978	2733.29331724	4.784081	Costa Rica	1982	2.0
133.1459	1110.51226134	4.995893	Albania	1982	2.0
130.3153	303.27623379	4.404348	Madagascar	1982	2.0
133.4924	1712.99360847	4.840127	Mauritius	1982	2.0
136.5043	1330.85474562	4.486549	Congo, Rep.	1982	2.0
133.7401	600.749209674	4.225189	Gambia	1982	2.0
135.8361	4026.87230523	5.014361	Seychelles	1982	2.0
136.4662	23908.3727611	5.476901	Brunei	1982	2.0
133.4302	10028.380839	5.139878	Macao, China	1982	2.0
130.5173	187.802745734	4.119185	Uganda	1982	2.0
126.4378	710.626122949	4.68091	Kiribati	1982	2.0
132.9549	2277.38843594	5.013341	Chile	1982	2.0
134.1496	303.319168955	4.176522	Sierra Leone	1982	2.0
138.6501	3389.06660306	5.519432	Latvia	1982	2.0
133.4018	11649.578282	5.54065	French Polynesia	1982	2.0
126.4686	1352.44781874	4.773787	Tonga	1982	2.0
129.8736	148.523703759	4.099837	Chad	1982	2.0
135.8894	863.431161063	4.360296	Cote d'Ivoire	1982	2.0
136.1193	3245.57315217	4.859378	Brazil	1982	2.0
129.2622	5203.01488722	4.904025	Mexico	1982	2.0
140.8364	22543.1164202	5.923429	Norway	1982	2.0
130.9244	10236.322326	5.738049	Singapore	1982	2.0
133.3125	250.352637816	4.119926	Congo, Dem. Rep.	1982	2.0
128.7342	281.547656821	4.234286	Lesotho	1982	2.0
135.1869	1905.77767704	5.251629	Romania	1982	2.0
127.8063	208.170863491	4.194007	China	1982	2.0
130.2492	22310.2393685	5.588936	United States	1982	2.0
138.5373	2002.99502742	5.197139	Georgia	1982	2.0
133.3962	608.244717036	4.229724	Liberia	1982	2.0
124.846	364.473326061	4.675797	Pakistan	1982	2.0
135.2215	8788.55213789	5.584649	Spain	1982	2.0
131.4841	3486.05105506	4.862494	Panama	1982	2.0
130.6123	2762.25926638	4.732231	Jamaica	1982	2.0
131.7691	1176.88889871	4.787129	Vanuatu	1982	2.0
125.4697	931.626134194	4.680588	Egypt	1982	2.0
127.694	185.390559328	4.199705	Mali	1982	2.0
129.2976	1110.56235407	4.839984	Syria	1982	2.0
136.3844	23506.4137115	6.099757	Iceland	1982	2.0
129.2044	2294.36208019	4.91181	Peru	1982	2.0
139.9534	250.896759825	4.171835	Niger	1982	2.0
131.4889	161.321174337	4.116729	Guinea-Bissau	1982	2.0
129.708	1489.2578483	4.469253	Tunisia	1982	2.0
127.2391	1551.58619229	4.646824	Guatemala	1982	2.0
130.7953	166.023993783	4.082749	Burkina Faso	1982	2.0
122.6201	240.909678653	4.580125	India	1982	2.0
123.9022	151.549957098	4.458659	Nepal	1982	2.0
136.852	52612.6888558	5.646829	United Arab Emirates	1982	2.0
132.3929	762.123402297	4.198229	Cameroon	1982	2.0
130.6061	2477.32599008	4.833148	Suriname	1982	2.0
136.0319	16632.4225196	5.298657	Bahamas	1982	2.0
135.7571	5219.63633102	5.872282	Malta	1982	2.0
133.4957	852.935147807	4.593801	Swaziland	1982	2.0
137.5113	15483.8748289	5.869092	Netherlands	1982	2.0
133.3849	12986.7589833	5.065129	Hong Kong, China	1982	2.0
128.1339	1060.54257279	4.575006	Honduras	1982	2.0
137.0911	28932.8114822	5.902369	Switzerland	1982	2.0
130.0819	1126.81761684	4.67712	Samoa	1982	2.0
129.7005	166.386830986	4.021998	Burundi	1982	2.0
132.7229	1391.88575553	4.764495	Paraguay	1982	2.0
127.0688	1521.74468189	4.698937	El Salvador	1982	2.0
132.0206	1314.69359765	4.528971	Botswana	1982	2.0
126.6765	712.330946477	4.47778	Guyana	1982	2.0
133.4801	10811.4686414	6.075355	New Zealand	1982	2.0
137.4391	19627.7086522	5.95241	Sweden	1982	2.0
132.2538	4936.89236412	4.855206	Antigua and Barbuda	1982	2.0
137.41	15867.5061521	5.817293	Austria	1982	2.0
138.5852	3989.9329404	5.288574	Hungary	1982	2.0
136.1603	15734.1806454	6.163856	United Kingdom	1982	2.0
134.3465	5082.62370271	5.273937	Uruguay	1982	2.0
133.1582	319.792039689	4.178268	Benin	1982	2.0
131.5068	1331.01870888	4.882187	Ecuador	1982	2.0
130.0525	2295.86550896	4.62177	Grenada	1982	2.0
126.8458	407.689690236	4.566211	Indonesia	1982	2.0
126.2855	471.938045254	4.496751	Sri Lanka	1982	2.0
118.5835	612.907627356	4.719857	Papua New Guinea	1982	2.0
130.2214	459.338116134	4.522316	Zambia	1982	2.0
128.5872	1742.66608647	5.062898	Fiji	1982	2.0
136.062	13300.9792003	5.607043	Italy	1982	2.0
131.1727	425.189260324	4.366916	Comoros	1982	2.0
127.5758	1029.264394	4.711424	Morocco	1982	2.0
130.7018	16435.4655078	5.591285	Canada	1982	2.0
126.9324	1819.74773719	4.996271	Marshall Islands	1982	2.0
133.5209	518.777895391	4.439914	Mauritania	1982	2.0
125.9044	2633.68530944	4.807563	Turkey	1982	2.0
123.9478	255.338612692	4.470724	Bangladesh	1982	2.0
137.3737	6658.84316992	5.449608	Portugal	1982	2.0
122.4954	841.513291973	4.666312	Thailand	1982	2.0
131.9649	1924.61408566	4.914258	Algeria	1982	2.0
132.5472	9164.96753184	5.474919	Greece	1982	2.0
135.3811	20262.2700515	5.877998	Denmark	1982	2.0
126.9662	2057.94124352	4.859055	Malaysia	1982	2.0
133.5333	342.343861467	4.13183	Nigeria	1982	2.0
126.2294	1113.17459232	4.755459	Philippines	1982	2.0
141.0205	5054.61203278	4.928659	Gabon	1982	2.0
136.8471	2179.84856488	4.68503	Namibia	1982	2.0
123.2312	138.013354066	4.195819	Ethiopia	1982	2.0
129.6821	290.50225693	4.496773	Sudan	1982	2.0
131.3559	1993.94999596	4.890262	Colombia	1982	2.0
131.8441	13240.7024164	5.770915	Israel	1982	2.0
135.795	5340.34692366	5.016295	Venezuela	1982	2.0
135.5365	12858.7578331	5.269036	Saudi Arabia	1982	2.0
129.8725	987.982505534	4.831378	Bolivia	1982	2.0
139.8635	15224.7907698	6.030832	Greenland	1982	2.0
133.6903	2615.32286809	4.730422	Dominica	1982	2.0
133.0908	189.05298196	4.320671	Mozambique	1982	2.0
138.4709	10505.7090699	5.893816	Ireland	1982	2.0
133.8334	15040.8482194	5.721641	Australia	1982	2.0
134.7106	9084.6041277	5.238519	Bahrain	1982	2.0
130.6854	6556.34758573	5.34767	Argentina	1982	2.0
135.2852	5115.06526635	5.844082	Malta	1983	2.2360679775
132.8809	297.564223966	4.173012	Benin	1983	2.2360679775
124.7232	376.034052379	4.670413	Pakistan	1983	2.2360679775
130.6901	523.145047582	4.429884	Zimbabwe	1983	2.2360679775
135.9978	16298.8827718	6.126173	United Kingdom	1983	2.2360679775
132.0013	274.060556662	4.096872	Rwanda	1983	2.2360679775
126.7121	2007.97009976	4.984169	Marshall Islands	1983	2.2360679775
127.1543	227.549640138	4.188126	China	1983	2.2360679775
130.3564	1303.46724813	4.736633	Nicaragua	1983	2.2360679775
133.3027	1702.29975906	4.83397	Mauritius	1983	2.2360679775
130.5128	16713.6994922	5.568269	Canada	1983	2.2360679775
126.0869	1103.01991498	4.750218	Philippines	1983	2.2360679775
139.4265	232.482403339	4.160392	Niger	1983	2.2360679775
129.5899	928.227792378	4.82289	Bolivia	1983	2.2360679775
132.9238	156.161267778	4.307419	Mozambique	1983	2.2360679775
